t_ms,raw,avg,var,maxminusmin,lastminusfirst,label
37105,85314,85332,4832,218,-127, NO_EVENT
37130,85278,85279,1219,105,-36, NO_EVENT
37155,85304,85240,2026,125,26, NO_EVENT
37180,75920,81530,24413177,10727,-9384, NO_EVENT
37205,74459,75216,428514,1751,-1461, NO_EVENT
37230,74338,74886,219188,1259,-977, NO_EVENT
37255,74464,74821,250796,1331,126, NO_EVENT
37280,74818,74887,193546,1321,354, NO_EVENT
37305,75472,74907,163652,970,654, NO_EVENT
37330,74609,74463,12872,368,63, NO_EVENT
37355,75923,74704,183166,1526,1314, NO_EVENT
37380,74904,75421,389164,1803,-1019, NO_EVENT
37405,75083,74717,102592,913,179, NO_EVENT
37430,74734,74961,152065,1226,-999, NO_EVENT
37455,76781,74923,557846,2448,2448, NO_EVENT
37480,74508,75281,363291,2273,-2273, NO_EVENT
37505,74628,74882,161289,1143,120, NO_EVENT
37530,74623,74933,75910,751,-713, NO_EVENT
37555,77922,75681,1624682,3374,3289, NO_EVENT
37580,74699,75263,1049547,3307,-3223, NO_EVENT
37605,74419,74705,77569,697,-280, NO_EVENT
37630,74367,75015,378567,1572,-283, NO_EVENT
37655,75871,75031,135730,1183,1183, NO_EVENT
37680,75026,75038,218910,1248,-845, NO_EVENT
37705,74745,74631,77707,744,-281, NO_EVENT
37730,74411,74787,138236,1111,-334, NO_EVENT
37755,75270,75120,343073,1720,568, NO_EVENT
37780,75378,75001,93526,816,108, NO_EVENT
37805,74139,74936,183217,1580,-1239, NO_EVENT
37830,74948,74732,170589,1323,809, NO_EVENT
37855,74510,75384,618175,2120,-2120, NO_EVENT
37880,74391,74752,66023,906,-119, NO_EVENT
37905,74858,75025,322985,1406,467, NO_EVENT
37930,74452,75258,205589,1304,-406, NO_EVENT
37955,75136,75572,857140,2773,189, NO_EVENT
37980,74999,74887,133174,1098,-137, NO_EVENT
38005,74585,74832,50698,662,-414, NO_EVENT
38030,75868,74887,315731,1674,1283, NO_EVENT
38055,74233,75500,648117,2321,-933, NO_EVENT
38080,75005,74784,101019,853,772, NO_EVENT
38105,74405,75459,305451,1656,-600, NO_EVENT
38130,74471,74628,86935,820,66, NO_EVENT
38155,74857,74785,39955,593,40, NO_EVENT
38180,74376,74701,201898,1348,-162, NO_EVENT
38205,74647,74801,47167,760,271, NO_EVENT
38230,74832,75184,243511,1471,185, NO_EVENT
38255,74528,74972,278728,1571,-304, NO_EVENT
38280,74660,74813,92947,802,286, NO_EVENT
38305,74881,74692,79718,859,221, NO_EVENT
38330,74946,75665,305377,1687,65, NO_EVENT
38355,74425,74811,154924,1084,-521, NO_EVENT
38380,74978,74868,122046,890,560, NO_EVENT
38405,74245,74761,186708,1171,-733, NO_EVENT
38430,75025,74825,154102,1196,780, NO_EVENT
38455,74630,74853,52292,580,-395, NO_EVENT
38480,74496,74721,31441,499,-7, NO_EVENT
38505,74647,74875,68707,925,151, NO_EVENT
38530,74698,74960,686824,2503,51, NO_EVENT
38555,74545,74753,39297,520,-153, NO_EVENT
38580,75087,74753,50935,672,542, NO_EVENT
38605,77830,75538,794397,3016,2740, NO_EVENT
38630,74986,75270,617159,3074,-2844, NO_EVENT
